刘遵,梁书,《 梁书 · 刘遵 传 》 ： “ 大同 元年 ， 卒 官 。,NAN
蒋介石,俞鸿钧,中方 代表 上海 市长 俞鸿钧 秉奉 蒋介石 之命 ， 严辞 拒绝 。,NAN
司马徽,刘备,: 刘备 在 荆州 ， 向 襄阳 人 司马徽 询访 人才 。,NAN
杜德智,杜德伟,杜德智 ， 歌手 ， 出 生于 香港 ， 是 香港艺人 杜德伟 的 哥哥 。,NAN
周勇,朱彦鹏,"李 海珠 , 朱彦鹏 , 周勇 . 框架 锚杆 支挡 结构 计算方法 及 工程 实践 [ J ] . 甘肃 科学 学报 , 2007 , 19 ( 2 ) : 151 - 154 .",NAN
朱元璋,韩柏,风行 烈 设计 令 韩柏 与 朱元璋 扯 上 关系 ， 令 武林 及 明室 岌岌可危 。,NAN
郑周永,郑梦宪,玄贞恩 1976 年 与 郑周永 的 五子 郑梦宪 结为 连理 ， 后育 有 两女 一子 。,NAN
冯牧,庄重文,曾 获 冯牧 文学奖 、 庄重文 文学奖 、 首届 女性 文学 成就奖 。,NAN
张柏芝,张曼玉,喜欢 的 明星 ： 奥黛丽 · 赫本 、 张曼玉 、 张柏芝,NAN
侯景,王伟,侯景 恐怕 西州 （ 建康 城西 ） 道路 被 切断 ， 率侯子 鉴 等 在 石头城 东北 修筑 五城 ， 以 大将 王伟 守 台城 。,NAN
杨国忠,幸华,据 《 旧唐书 · 杨国忠 传 》 说 ： “ 玄宗 每年 冬 十月 幸华 清宫 ， 常经冬 还 宫 。,NAN
汪峰,蔡正东,《 蔡正东 布鲁斯 吉他 教程 》 蔡正东 吉他 作品 : 《 花火 》 演唱 ： 汪峰,NAN
艾玛,苏雷,艾玛 · 苏雷 兹 / EmmaSu á rez,NAN
瞿通,瞿能,瞿通 、 瞿能 、 瞿郁 ( 或 瞿 良才 、 瞿大芳 ) 一门 三代 为 大 明朝 尽忠 尽烈 。,NAN
杨雨,陆游,杨雨 ： 侠骨 柔情 陆放翁 ； 纳兰 心事 有 谁知 ； 端午 时节 话 屈原 （ 第一部 、 第二部 ） ； 中国 故事 爱国 篇 之 《 陆游 》 ； 诗歌 爱情,NAN
郭俊卿,花木兰,2006 年 ， 陕西 日报 发表文章 称 郭俊卿 为 ： “ 屡建奇功 的 “ 现代 花木兰 ” ！,NAN
范晓萱,李泉,《 我要 我们 在 一起 》 ， 是 由 李泉 作词 兼 作曲 ， 范晓萱 原唱 的 歌曲 。,NAN
孟庆,牛欣,C语言 程序设计 上机 指导 与 习题 解答 百科 名片 : 作 / 译者 ： 孟庆 昌 牛欣 源 出版社 ： 人民邮电出版社,NAN
刘子顼,鲍照,孝武 帝大明 五年 ， 临海 王 刘子顼 镇 荆州 时 ， 任 鲍照 前 军 参军 。,NAN
方遒,毛泽东,开国 之 父 毛泽东 说得好 ： “ 恰 同学 少年 ， 风华正茂 ， 书生 意气 ， 挥斥 方遒 ” ， “ 指点江山 ， 激昂 之字 ， 粪土 当年 万户侯 。 ”,NAN
吴起,魏武侯,有 一次 ， 魏武侯 和 吴起 坐船 顺 西河 而 下 ， 看着 两岸 壮观 的 景色 ， 武侯 对 吴起 说 ： “ 好 啊 !,NAN
胡奎,罗灿,罗 有子 罗灿 、 罗 焜 、 皆 文武双全 ， 与 莽汉 胡奎 结为 知交 。,NAN
蒙骜,蒙武,出身 于 一个 世代 名将 之 家 ， 祖父 蒙骜 、 父亲 蒙武 均 为 秦国 名将 。,NAN
鲁斯,巴雷,通常 都 会 和 同属 家族 中 另外 一种 彩绘 锥尾 鹦鹉 一起 定时 前往 前往 巴雷 鲁斯 （ barreiros ） 区 进食 蕴含 丰富 矿物质 的 泥土 。,NAN
黄鉴,王晴川,女神 捕 铁证 : 女神 捕演职 信息 : 编剧 ： 黄鉴 、 王晴川,NAN
张光晟,李晟,李晟 每次 举行宴会 ， 都 邀 张光晟 出席 ， 待 如 上宾 。,NAN
陶泓,毛颖,留伴 陶泓 共新浴 ， 要令 毛颖 沃 清香 。,NAN
苏鲁,于学忠,他 把 国民党 苏鲁 战区 司令 于学忠 赶 出 山东 。,NAN
孔子,蒙培元,蒙培元 讲 孔子 第五 讲 德治 学说 : 一修 已 以安 百姓,NAN
张廷壁,方孝孺,明 · 方孝孺 《 答 张廷壁 书 》 ： “ 然仆昧陋 无识 ， 岂足知 可否 之 所在 邪 ？ ”,NAN
陆贞,高湛,书中 的 爱情 也 荡气回肠 — — 陆贞 和 高湛 面临 种种 波折 依旧 执着 携手 ， 拆穿 波谲 云 诡 的 阴谋 ， 共渡 风风雨雨 。,人物关系/亲属关系/配偶/丈夫/现夫
包惜弱,杨铁心,杨铁心 和 包惜弱 又 会 如何 ?,人物关系/亲属关系/配偶/丈夫/现夫
穆桂英,杨宗保,1995 年 6 月 回团 后 ， 作为 骨干力量 的 我 配合 团里 的 任务 主演 大戏 《 穆桂英 与 杨宗保 》 ， 在 剧中 我 饰演 杨宗保 。,人物关系/亲属关系/配偶/丈夫/现夫
万玉枝,高咏,后来 紫萱 运用 苗家 秘法 为 高咏 解毒 ， 万玉枝 十分 感激 ， 将 土系 仙术 书 和 土灵珠 交给 紫萱 一行 人 作为 答谢 。,人物关系/亲属关系/配偶/丈夫/现夫
黄峨,杨慎,后来 ， 黄峨 闻知 杨慎 在 云南 病故 ， 年过花甲 的 她 千里 奔丧 ， 到 泸州 迎得 灵柩 返回 归葬 ， 并 携 庶出 孤儿 归于 故里 。,人物关系/亲属关系/配偶/丈夫/现夫
鲁元公主,张敖,汉惠帝 刘盈 就是 她 和 刘邦 的 儿子 ， 还有 一个 孩子 就是 鲁元公主 ， 她 嫁给 了 软弱 却 孝顺 的 张敖 。,人物关系/亲属关系/配偶/丈夫/现夫
