颜回,孔子,这里 ， 孔子 说 颜回 “ 非助 我者 ” ， 并 不是 责备 颜回 ， 而是 在 得意 地 赞许 他 。,人物关系/师生关系/老师
汤潮,赵本山,节目 录制 现场 还 首次 曝光 了 2010 年 汤潮 演唱会 的 现场 视频 ， 赵本山 不仅 自己 亲自 登台 做 嘉宾 ， 还 带 去 了 汤潮 的 师弟 小 沈阳 。,人物关系/师生关系/老师
洪凌波,李莫愁,但久 在 李莫愁 的 熏陶 下 下手 有时 也 不免 狠 了 些 ， 但 从 一些 侧面 描写 中 可见 洪凌波 并 不 像 李莫愁 那样 在外 惹是生非 。,人物关系/师生关系/老师
颜回,孔子,【 出处 】 《 孔子 家语 · 颜回 》 ： “ 公闻 之 ， 越席 而 起 。 ”,人物关系/师生关系/老师
莫声谷,张三丰,张三丰 共收 有 七名 弟子 ： 宋远桥 、 俞莲舟 、 俞岱岩 、 张松溪 、 张翠山 、 殷梨亭 、 莫声谷 ， 合称 「 武当七侠 」 。,人物关系/师生关系/老师
颜回,孔子,《 索引 》 ： “ 苍蝇附骥 尾而致 千里 ， 以 譬 颜回 因 孔子 而 名彰 也 。 ”,人物关系/师生关系/老师
杨班侯,杨露禅,张策 是 继行 意拳 的 李洛能 、 郭云深 、 孙禄堂 ， 八卦掌 的 董海川 ， 太极拳 的 杨露禅 、 杨班侯 、 杨健候 之后 ， 又 一大 重要 拳种 创始人 。,人物关系/师生关系/老师
洪凌波,李莫愁,曾斗 之 人 ： 李莫愁 ， 郭 芙 ， 金轮法王 ， 洪凌波 ， 公孙止 ， 姬清虚 ， 申志凡 ， 皮清玄,人物关系/师生关系/老师
姜昆,马季,面对 这位 “ 中国 新 相声 的 开路人 ” ， 马季 、 姜昆 、 冯巩 、 牛群 等 众多 相声 名家 无不 为之动容 。,人物关系/师生关系/老师
宋小宝,赵本山,2014 - 02 - 27 ： 老兵 「 赵本山 ， 小 沈阳 ， 宋小宝 ， 毕畅 」,人物关系/师生关系/老师
颜回,孔子,他 的 学生 颜回 称其 “ 威而 不 猛 ” ， 且 孔子 身材 魁伟 ， 当时 被 称为 “ 长人 ” 。,人物关系/师生关系/老师
陈真,霍元甲,精武 风云 · 陈真 电影 剧情 : 陈真 （ 甄子丹 饰 ） 当年 为报 日本 人 杀师 （ 霍元甲 ） 之仇 ， 独闯 虹口 道场 精武 风云 的 壁纸 ( 6 张 ),人物关系/师生关系/老师
刘伟,马季,《 五官 争功 》 表演者 ： 马季 、 赵炎 、 刘伟 、 王金宝 、 冯巩,人物关系/师生关系/老师
宋小宝,赵本山,2014 - 02 - 27 ： 老兵 （ 66 集 ） 「 赵本山 ， 宋小宝 ， 小 沈阳 ， 李立群 」,人物关系/师生关系/老师
仲由,孔子,孝 的 故事 百里 负米 : 仲由 ， 字 子路 、 季路 ， 春秋时期 鲁国 人 ， 孔子 的 得意 弟子 ， 性格 直率 勇敢 ， 十分 孝顺 。,人物关系/师生关系/老师
颜回,孔子,复 圣堂 ： 孔子 的 弟子 颜回 ， 春秋 时鲁国 人 ， 勤俭 好学 ， 乐道安贫 。,人物关系/师生关系/老师
贾廷聚,唐喜成,唐喜成 感动 于 贾廷聚 的 刻苦 执着 ， 爱惜 这个 身形 高大 的 年轻人 。,人物关系/师生关系/老师
林平之,岳不群,（ 别说 岳不群 不是 林平之 的 仇人 只是 觊觎 他家 剑谱 而已 ， 福州 小 酒店 见死不救 怎么 说 ？,人物关系/师生关系/老师
沈春阳,赵本山,其中 ， 汤潮 与 小 沈阳 、 沈春阳 、 丫蛋 、 王金龙 等 打造 音乐 小品 《 真的 想 回家 》 惹 观众 洒泪 ， 值得一提的是 ， 该 作品 由 赵本山 亲自 把关 。,人物关系/师生关系/老师
殷梨亭,张三丰,张三丰 百岁 生日 那天 ， 纪晓芙 一 露面 ， 殷梨亭 不但 脸红 ， 竟然 连 招呼 都 不敢 上去 打 一声 。,人物关系/师生关系/老师
颜回,孔子,任泉 ( 电影 《 孔子 》 中 饰演 颜回 ),人物关系/师生关系/老师
南宫敬叔,孔子,他 让 两个 儿子 孟懿子 （ 何忌 ） 与 南宫敬叔 （ 说 ） 拜 孔子 为师 ， 学习 礼仪 。,人物关系/师生关系/老师
颜回,孔子,安贫乐道 成语 典故 : 传说 ， 孔子 有 学生 3000 余人 ， 其中 最 出名 的 有 72 人 ， 而 颜回 又 是 孔子 最 得意 的 门生 之一 。,人物关系/师生关系/老师
颜回,孔子,正中 为 大成 至圣先师 孔子 ， 左为 复圣 颜回 ， 述 圣 孔伋 ， 右为 宗圣 曾 参 ， 亚圣 孟轲 。,人物关系/师生关系/老师
岳云鹏,郭德纲,郭德纲 弟子 岳云鹏 在 微博上 上传 了 一张 经过 网友 PS 的 图片 ， 狠狠 地 恶搞 了 一把 郭德纲 。,人物关系/师生关系/老师
颜回,孔子,《 孔子 家语 · 颜回 》 ： “ 颜回 问 於 孔子 曰 ： ‘ 小人 之言有 同乎 君子 者 ， 不可不 察 也 ！,人物关系/师生关系/老师
马季,侯宝林,1951 年 调入 中国 广播 说唱团 工作 ， 先后 与 侯宝林 、 刘宝瑞 、 马季 、 郝爱民 等 合作 表演 相声 。,人物关系/师生关系/老师
颜回,孔子,同样 ， 孔子 也 非常 赏识 和 信任 颜回 ， 当 子贡 怀疑 颜回 偷吃 米饭 时 ， 孔子 坚信 颜回 不会 这样 做 ， 并用 巧妙 的 方法 解除 了 别人 的 疑问 。,人物关系/师生关系/老师
颜回,孔子,后来 妻子 劝夫 说 ： 你 听 过 古时 孔子 考验 颜回 的 故事 吗 ？,人物关系/师生关系/老师
颜回,孔子,颜回 死 ， 享年 四十一岁 ， 孔子 哭 之 恸 ， 曰 ： “ 噫 ！,人物关系/师生关系/老师
韩非,荀子,韩非 还 继承 了 老师 荀子 的 人性 恶 学说 ， 主张 治理 国家 必须 实行 刑赏 。,人物关系/师生关系/老师
白兔公子,彭祖,彭祖 有 8 大 弟子 ： 青衣 乌公 、 黑穴公 、 秀眉 公 、 白兔公子 、 离患公 、 太足君 、 高丘子 、 不肯 来 。,人物关系/师生关系/老师
岳云鹏,郭德纲,教室 Style 主演 简介 : 岳云鹏 ， 自幼 喜爱 相声 艺术 ， 2004 年 跟随 郭德纲 老师 学习 ， 主攻 相声 、 太平 歌词 、 竹板书 。,人物关系/师生关系/老师
颜回,孔子,司马贞 索隐 ： “ 苍蝇附骥 尾而致 千里 ， 以喻 颜回 因 孔子 而 名彰 。 ”,人物关系/师生关系/老师
汤潮,赵本山,2008 年 创作 和 演唱 的 歌曲 《 好男儿 》 被 选 做 赵本山 新剧 《 关东 大 先生 》 汤潮 的 照片 的 主题歌 。,人物关系/师生关系/老师
陈九公,赵公明,关于 横财 神 : 姚少司 是 峨眉山 罗浮洞 赵公明 的 弟子 ， 与 陈九公 是 同门 师兄弟 ， 是 截教 门人 。,人物关系/师生关系/老师
公孙胜,罗真人,5 、 明 施耐庵 《 水浒 》 第五十三回 《 戴宗 二取 公孙胜 李逵 独劈 罗真人 》 我 想 公孙胜 是 个 学道 的 人 ， 必然 在 个 名山大川 ， 洞 天真 境 居住 。,人物关系/师生关系/老师
洪凌波,李莫愁,洪凌波 角色 能力 : 洪凌波 得 李莫愁 真传 ， 而 李莫愁 的 古墓 剑法 精妙 无比 ， 故 洪凌波 的 剑法 也 是 凌厉 。,人物关系/师生关系/老师
薛谭,秦青,薛谭 师从 著名 歌唱家 秦青 学习 技艺 ， 薛谭 非常 聪明 、 好学 ， 嗓音 又 格外 甜美 。,人物关系/师生关系/老师
陈靖仇,陈辅,陈靖仇 是 陈国 后裔 ， 在 襁褓 时代 隋朝 四处 搜捕 陈国 遗族 时 ， 他 的 师父 陈辅 牺牲 了 自己 的 孙儿 ， 冒险 将 陈靖仇 替代 救出 。,人物关系/师生关系/老师
樊迟,孔子,战国 《 论语 · 子路 》 记载 ， 有 一次 樊迟 向 孔子 请教 稼圃 之事 ， 待 樊迟 出 ， 孔子 便 讥讽 他 ： “ 小人 哉 ， 樊须 也 。 ”,人物关系/师生关系/老师
陈真,霍元甲,武学 宗师 霍元甲 （ 高雄饰 ） 在 上海 设馆 授徒 ， 机缘巧合 下 解救 是 得 初入 黑帮 的 陈真 （ 甄子丹 饰 ）,人物关系/师生关系/老师
姜子牙,元始天尊,姜子牙 字 飞熊 ， 师从 元始天尊 修道 。,人物关系/师生关系/老师
张翠山,张三丰,"这时候 , 身为 张三丰 徒弟 张翠山 第 40 代 嫡传 子孙 的 张雨辰 基因 觉醒 !",人物关系/师生关系/老师
颜回,孔子,颜回 颜回 不仕 : 孔子 对 颜回 说 ： “ 颜回 ， 你 过来 ！,人物关系/师生关系/老师
宋小宝,赵本山,宋小宝 当时 就 好像 在 梦里 一样 ， 而 等到 他 醒过来 时 ， 已经 成 了 赵本山 的 徒弟 。,人物关系/师生关系/老师
宋小宝,赵本山,赵本山 、 宋小宝 、 赵海燕 、 孙丽荣,人物关系/师生关系/老师
樊迟,孔子,孔子 力倡 爱人 ： 樊迟 问 仁 ， 孔子 回答 爱人 （ 《 论语 · 颜渊 》 ） 。,人物关系/师生关系/老师
颜回,孔子,颜回 和 子路 都 是 孔子 的 学生 。,人物关系/师生关系/老师
全真七子,王重阳,《 神雕侠侣 》 — 甄志丙 、 王重阳 、 全真七子 、 忽必烈 、 周伯通,人物关系/师生关系/老师
颜回,孔子,这 “ 七十二 贤士 ” 中 ， 又数 颜回 是 孔子 最爱 的 弟子 。,人物关系/师生关系/老师
俞莲舟,张三丰,武当七侠 ， 各有所长 ， 但 张三丰 却 独对 张翠山 另加 青眼 ， 寄予厚望 ， 其 原因 ， 俞莲舟 说 是因为 张翠山 悟性 最高 ， 可 作 张三丰 的 衣钵传人 。,人物关系/师生关系/老师
马季,侯宝林,当时 领导 确定 侯宝林 、 刘宝瑞 、 郭启儒 、 郭全宝 都 是 马季 的 老师 ， 侯宝林 为 责任 老师 。,人物关系/师生关系/老师
颜回,孔子,铸颜 词语 解释 : 谓 孔子 培养 其 弟子 颜渊 ( 颜回 ) 成才 。,人物关系/师生关系/老师
王小虎,赵本山,王小虎 ： （ 朝 赵本山 ） 师傅 ， 太 对不起 了 ， 你 那 忽悠 智商 太低 了 ， 跟 你 也 学不着 啥 玩意儿 ！,人物关系/师生关系/老师
岳云鹏,郭德纲,郭德纲 得意门生 、 被 岳云鹏 粉丝 们 戏称 为 五环 教主 的 德云社 新秀 岳云鹏 ， 要 来 石家庄 开 相声 专场 演出 了 。,人物关系/师生关系/老师
颜回,孔子,《 孔子 家语 · 颜回 》 ： “ 达 於 情性 之理 ， 通 於 物类 之变 ， 知 幽明 之故 ， 覩 游气 之原 ， 若此 可谓 成人 矣 。 ”,人物关系/师生关系/老师
李昌镐,曹薰铉,第三轮 ： 李昌镐 1 : 0 刘小光 赵治勋 1 : 0 聂卫平 马晓春 1 : 0 小林觉 曹薰铉 1 : 0 片冈聪,人物关系/师生关系/老师
杨长在,杨志光,杨志光 - - 杨长在 、 张国庆,人物关系/师生关系/老师
林逸,杨明,王笑 嫣 林逸 的 师娘 之一 ， 杨 七七 的 母亲 ， 杨明 的 妻子 之一 。,人物关系/师生关系/老师
颜回,孔子,孔子 哭 得 哀痛 之 至 ， 说 ： “ 自从 我 有 了 颜回 这个 学生 ， 学生 们 就 更加 亲近 我 。 ”,人物关系/师生关系/老师
卓凤鸣,吕洞宾,直到 卓凤鸣 十五岁 时 ， 吕洞宾 仙游 至此 ， 来卓府 作客 ， 却 发现 一派 书香 的 庭院 中有 一个 人高马大 的 男孩子 扛着 一块 青石板 罚站 。,人物关系/师生关系/老师
颜回,孔子,其它 相关 : 原来 的 孔庙 内 ， 孔 圣殿 供奉 着 孔子 塑像 ， 东西 两 庑 供奉 孟子 、 曾子 、 颜回 等 人 。,人物关系/师生关系/老师
颜回,孔子,第七个 渊源 : 源于 姬姓 ， 出自 春秋时期 孔子 弟子 颜回 ， 属于 以 先祖 名字 为氏 。,人物关系/师生关系/老师
沙悟净,唐僧,"孙悟空 、 唐僧 、 沙悟净 轮番上阵 , 陌 小珠 … …",人物关系/师生关系/老师
颜回,孔子,在 孔门 弟子 中 ， 子夏 并 不象 颜回 、 曾 参辈 那样 恪守 孔子 之道 。,人物关系/师生关系/老师
张翠山,张三丰,张翠山 善良 厚道 善恶 分明 ， 自幼 拜 张三丰 为师 ； 师徒 情如 父子 ， 师兄弟 情如 手足 。,人物关系/师生关系/老师
宋小宝,赵本山,赵本山 带领 弟子 宋小宝 、 赵海燕 联袂 出演 的 小品 《 相亲 》 ， 引来 全场 千余名 观众 的 阵阵 爆 笑声 。,人物关系/师生关系/老师
颜回,孔子,2009 年 参演 电视剧 《 孔子 》 饰演 孔子 门生 颜回,人物关系/师生关系/老师
杨锐,张之洞,张之洞 、 杨锐 与 豁蒙楼,人物关系/师生关系/老师
陈靖仇,陈辅,5 . 公元 601 年 ， 陈国镇 国之宝 ， 由 陈辅 交由 陈国 少主 陈靖仇 手中 。,人物关系/师生关系/老师
颜回,孔子,庙 内 正中 祀 孔子 塑像 ， 两旁 为 四配 （ 颜回 、 曾 参 、 孔及 、 孟轲 ） 。,人物关系/师生关系/老师
汤潮,赵本山,《 好男儿 》 ( 赵本山 导演 电视剧 《 关东 大 先生 》 主题曲 ) 小 沈阳 、 汤潮 演唱 ( 担任 ： 说唱 ),人物关系/师生关系/老师
公孙胜,罗真人,孙安 道 ： “ 则 他 便是 罗真人 徒弟 ， 叫做 公孙胜 ， 宋 先锋 的 副 军师 。,人物关系/师生关系/老师
陈靖仇,陈辅,"陈辅 将 自己 复国 的 愿望 , 全落 在 幼小 的 陈靖仇 身上 ( 陈靖仇 之名 , 即 是 “ 靖北虏 , 复国 仇 ” 的 意思 ) 。",人物关系/师生关系/老师
薛谭,秦青,薛谭 于是 向 秦青 道歉 ， 想要 回来 继续 学习 。,人物关系/师生关系/老师
颜回,孔子,4 第四 部分 : 原文 : 子夏问 孔子 曰 ： “ 颜回 ① 之为 人 奚若 ？ ”,人物关系/师生关系/老师
颜回,孔子,也就是说 ， 对于 孔子 、 颜回 这样 品德高尚 的 人 来说 ， 快乐 不 在于 物质享受 ， 而 在于 精神 情操 的 追求 。,人物关系/师生关系/老师
颜回,孔子,孔子 的 弟子 颜回 ， 可谓 仁者 也 。,人物关系/师生关系/老师
梁守忠,万籁声,万籁声 又 传洪正福 、 周铨 、 刘家 填 、 陈训 德 、 秦腊生 、 梁守忠 等 。,人物关系/师生关系/老师
颜回,孔子,颜渊 ： 即 颜回 ， 是 孔子 得意 的 学生 ， 孔子 常常 称赏 其 品质 。,人物关系/师生关系/老师
颜回,孔子,颜回 出去 后 ， 孔子 环顾 了 一下 身边 的 弟子 说 ： 我 相信 颜回 不是 从 今天 开始 的 。,人物关系/师生关系/老师
沙悟净,唐僧,悟空 去求 观音 ， 观音 派木叉 前往 ， 木叉 叫 出 妖怪 ， 让 他 拜 唐僧 为师 ， 这 就是 沙悟净 沙和尚 ， 又称 沙僧 。,人物关系/师生关系/老师
颜回,孔子,颜回 卫国之 行 : 颜子 颜回 与 子路 随 孔子 进入 卫国 后 ， 二人 先至卫 都 帝丘 （ 在 今 河南 濮阳 西南 ） 颜浊 邹家 。,人物关系/师生关系/老师
宋小宝,赵本山,于震 宇 演艺 经历 : 说起 赵本山 徒弟 ， 多数 人会 想到 小 沈阳 、 宋小宝 … …,人物关系/师生关系/老师
赵姝,孙悦,2008 年 10 月 被 孙悦 授予 首徒 赵姝 新专辑 《 大无畏 》 制作 人,人物关系/师生关系/老师
颜回,孔子,( 6 ) 四友 ： 孔子 的 学生 颜回 、 子贡 、 子路 、 子张 ， 为 孔子 四友 。,人物关系/师生关系/老师
薛谭,秦青,第十一部分 : 原文 : 薛谭 学 讴于 秦青 ① ， 未穷 青之技 ， 自谓 尽 之 ， 遂 辞 归 。,人物关系/师生关系/老师
卓凤鸣,吕洞宾,大 师兄 谢云流 叛出 师门 后 ， 吕洞宾 一直 郁郁寡欢 ， 卓凤鸣 觉得 纯阳 内乱 是 朝廷 权力斗争 造成 的 ， 一直 对此 心怀 愤恨 。,人物关系/师生关系/老师
仲由,孔子,这场 政变 中 ， 孔子 著名 子弟 仲由 被 杀 。,人物关系/师生关系/老师
