Content,EventTemplate
getStreamVolume  treamType: 5,getStreamVolume  treamType: <*>
"Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.MAIN flg=0x10840000 cmp=com.android.incallui/.InCallActivity (has extras) }","Skipping, withExcluded: false, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }"
"Skipping, withExcluded: false, tr.intent:Intent { flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity bnds=[264,444][920,908] }","Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> bnds=<*> }"
"Skipping, withExcluded: false, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }","Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> flg=<*> cmp=<*> (has extras) }"
The change in focus caused us to need to do a layout begin,The change in focus caused us to need to do a layout begin
The change in focus caused us to need to do a layout begin,The change in focus caused us to need to do a layout begin
"ActivityRecord info: ActivityInfo{71e60ba com.tencent.mobileqq.activity.SplashActivity}, euid: 0","ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>"
"ActivityRecord info: ActivityInfo{d1c8e63 com.tencent.mobileqq.activity.SplashActivity}, euid: 0","ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>"
"ActivityRecord info: ActivityInfo{f39182 com.example.android.notepad.NotePadActivity}, euid: 0","ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>"
"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-418.0","updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>"
"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-553.0","updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>"
RefreshBatteryInfo isBatteryLow: 23,RefreshBatteryInfo isBatteryLow: <*>
RefreshBatteryInfo isBatteryLow: 23,RefreshBatteryInfo isBatteryLow: <*>
RefreshBatteryInfo isBatteryLow: 23,RefreshBatteryInfo isBatteryLow: <*>
"animateCollapsePanels:flags=2, force=true, delayed=true, mExpandedVisible=true","animateCollapsePanels:flags=<*>, force=true, delayed=true, mExpandedVisible=true"
"animateCollapsePanels:flags=2, force=true, delayed=true, mExpandedVisible=true","animateCollapsePanels:flags=<*>, force=true, delayed=true, mExpandedVisible=true"
"[HSM] stayAwake false uid: 10111, pid: 28601","[HSM] stayAwake false uid: <*>, pid: <*>"
"[HSM] stayAwake false uid: 10111, pid: 28601","[HSM] stayAwake false uid: <*>, pid: <*>"
"[HSM] stayAwake false uid: 10111, pid: 28601","[HSM] stayAwake false uid: <*>, pid: <*>"
makeExpandedInvisible: mExpandedVisible=true,makeExpandedInvisible: mExpandedVisible=true
logNotificationVisibilityChanges runInThread over,logNotificationVisibilityChanges runInThread over
