Content,EventTemplate
logNotificationVisibilityChanges runInThread over,logNotificationVisibilityChanges runInThread over
logNotificationVisibilityChanges runInThread over,logNotificationVisibilityChanges runInThread over
updateDimmedActivatedHideSensitive overlap:false,updateDimmedActivatedHideSensitive overlap:false
updateDimmedActivatedHideSensitive overlap:false,updateDimmedActivatedHideSensitive overlap:false
ACTION_BATTERY_CHANGED pluggedType: 0,ACTION_BATTERY_CHANGED pluggedType: <*>
ACTION_BATTERY_CHANGED pluggedType: 0,ACTION_BATTERY_CHANGED pluggedType: <*>
java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,<*>: <*> cannot be cast to <*>$Token
java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,<*>: <*> cannot be cast to <*>$Token
logNotificationVisibilityChanges runInThread start,logNotificationVisibilityChanges runInThread start
logNotificationVisibilityChanges runInThread start,logNotificationVisibilityChanges runInThread start
"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".","Acquiring suspend blocker ""PowerManagerService.WakeLocks""."
"Releasing suspend blocker ""PowerManagerService.WakeLocks"".","Releasing suspend blocker ""PowerManagerService.WakeLocks""."
remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching
remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching
"onReceive, action:android.intent.action.BATTERY_CHANGED","onReceive, action:<*>"
"onReceive, action:android.intent.action.BATTERY_CHANGED","onReceive, action:<*>"
getStreamVolume  treamType: 5,getStreamVolume  treamType: <*>
getStreamVolume  treamType: 5,getStreamVolume  treamType: <*>
scheduleTimeTickEvent triggerAtTime = 509262332,scheduleTimeTickEvent triggerAtTime = <*>
scheduleTimeTickEvent triggerAtTime = 509262332,scheduleTimeTickEvent triggerAtTime = <*>
"interceptKeyBeforeQueueing: key 4 , result : 1","interceptKeyBeforeQueueing: key <*> , result : <*>"
"interceptKeyBeforeQueueing: key 4 , result : 1","interceptKeyBeforeQueueing: key <*> , result : <*>"
HBM brightnessIn =38,HBM brightnessIn =<*>
HBM brightnessIn =38,HBM brightnessIn =<*>
ApStaDisabledState what=155652,ApStaDisabledState what=<*>
ApStaDisabledState what=155652,ApStaDisabledState what=<*>
onNotificationClick called,onNotificationClick called
onNotificationClick called,onNotificationClick called
startAnimation begin,startAnimation begin
startAnimation begin,startAnimation begin
"state.clipTopAmount:130, i:0","state.clipTopAmount:<*>, i:<*>"
"state.clipTopAmount:-1, i:0","state.clipTopAmount:<*>, i:<*>"
getAllCellInfo is blocked by permission manager . callingPackage = com.tencent.mobileqq,getAllCellInfo is blocked by permission manager . callingPackage = <*>
