Content,EventTemplate
getStreamVolume  treamType: 5,getStreamVolume  treamType: <*>
getStreamVolume  treamType: 5,getStreamVolume  treamType: <*>
getStreamVolume  treamType: 5,getStreamVolume  treamType: <*>
"Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.VIEW dat=file:///storage/emulated/0/Tencent/QQfile_recv/b.apk typ=application/vnd.android.package-archive flg=0x10800000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) }","Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }"
The change in focus caused us to need to do a layout end,The change in focus caused us to need to do a layout end
The change in focus caused us to need to do a layout end,The change in focus caused us to need to do a layout end
"ActivityRecord info: ActivityInfo{f39182 com.example.android.notepad.NotePadActivity}, euid: 0","ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>"
applyOptionsLocked: Unknown animationType=0,applyOptionsLocked: Unknown animationType=<*>
applyOptionsLocked: Unknown animationType=0,applyOptionsLocked: Unknown animationType=<*>
applyOptionsLocked: Unknown animationType=0,applyOptionsLocked: Unknown animationType=<*>
"updateClipping isOverlap:true, getTopPadding=333.0, Translation=-553.0","updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>"
RefreshBatteryInfo isBatteryLow: 23,RefreshBatteryInfo isBatteryLow: <*>
"overlapAmount:146.0, previousNotificationEnd:0.0, newYTranslation:-146.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-479","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
"overlapAmount:95.0, previousNotificationEnd:0.0, newYTranslation:-95.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-428","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
"overlapAmount:146.0, previousNotificationEnd:0.0, newYTranslation:-146.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-479","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
"overlapAmount:220.0, previousNotificationEnd:0.0, newYTranslation:-220.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-553","overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>"
"animateCollapsePanels:flags=2, force=true, delayed=true, mExpandedVisible=true","animateCollapsePanels:flags=<*>, force=true, delayed=true, mExpandedVisible=true"
"animateCollapsePanels:flags=2, force=true, delayed=true, mExpandedVisible=true","animateCollapsePanels:flags=<*>, force=true, delayed=true, mExpandedVisible=true"
"[HSM] stayAwake false uid: 10111, pid: 28601","[HSM] stayAwake false uid: <*>, pid: <*>"
makeExpandedInvisible: mExpandedVisible=true,makeExpandedInvisible: mExpandedVisible=true
makeExpandedInvisible: mExpandedVisible=true,makeExpandedInvisible: mExpandedVisible=true
makeExpandedInvisible: mExpandedVisible=true,makeExpandedInvisible: mExpandedVisible=true
logNotificationVisibilityChanges runInThread over,logNotificationVisibilityChanges runInThread over
logNotificationVisibilityChanges runInThread over,logNotificationVisibilityChanges runInThread over
[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=true
[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=true
enqueueNotificationInternal: n.getKey = 0|com.tencent.mobileqq|121|null|10111,enqueueNotificationInternal: n.getKey = <*>
enqueueNotificationInternal: n.getKey = 0|com.tencent.mobileqq|121|null|10111,enqueueNotificationInternal: n.getKey = <*>
enqueueNotificationInternal: n.getKey = 0|com.tencent.mobileqq|121|null|10111,enqueueNotificationInternal: n.getKey = <*>
"updateNotificationShade: total=0, active=0","updateNotificationShade: total=<*>, active=<*>"
visible is system.message.count gt 0,visible is <*> gt <*>
visible is system.message.count gt 0,visible is <*> gt <*>
Pid:28601 MediaPlayer destructor,Pid:<*> MediaPlayer destructor
Pid:28601 MediaPlayer destructor,Pid:<*> MediaPlayer destructor
"ActivityManagerService,attachApplication,callingPid = 13175","ActivityManagerService,attachApplication,callingPid = <*>"
"ActivityManagerService,attachApplication,callingPid = 12787","ActivityManagerService,attachApplication,callingPid = <*>"
"ActivityManagerService,attachApplication,callingPid = 13175","ActivityManagerService,attachApplication,callingPid = <*>"
"ActivityManagerService,attachApplication,callingPid = 12787","ActivityManagerService,attachApplication,callingPid = <*>"
"cancelNotificationLocked called,tell the app,reason = 8","cancelNotificationLocked called,tell the app,reason = <*>"
"cancelNotificationLocked called,tell the app,reason = 8","cancelNotificationLocked called,tell the app,reason = <*>"
"Animating brightness: target=38, rate=200","Animating brightness: target=<*>, rate=<*>"
"Animating brightness: target=38, rate=200","Animating brightness: target=<*>, rate=<*>"
battery changed pluggedType: 0,battery changed pluggedType: <*>
"ACTIVITY check resid: com.example.android.notepad, size=1","ACTIVITY check resid: <*>, size=<*>"
"ACTIVITY check resid: com.example.android.notepad, size=1","ACTIVITY check resid: <*>, size=<*>"
"ACTIVITY check resid: com.example.android.notepad, size=0","ACTIVITY check resid: <*>, size=<*>"
"ACTIVITY check resid: com.example.android.notepad, size=0","ACTIVITY check resid: <*>, size=<*>"
"onReceive, action:android.intent.action.BATTERY_CHANGED","onReceive, action:<*>"
android.util.AndroidRuntimeException: Must execute in UI,<*>: Must execute in UI
android.util.AndroidRuntimeException: Must execute in UI,<*>: Must execute in UI
android.util.AndroidRuntimeException: Must execute in UI,<*>: Must execute in UI
Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui,Sending non-protected broadcast <*> from system <*>:<*> pkg <*>
HBM brightnessIn =38,HBM brightnessIn =<*>
HBM brightnessIn =38,HBM brightnessIn =<*>
shouldBlockLocation  ret:true,shouldBlockLocation  ret:true
shouldBlockLocation  ret:true,shouldBlockLocation  ret:true
shouldBlockLocation  ret:true,shouldBlockLocation  ret:true
shouldBlockLocation  ret:true,shouldBlockLocation  ret:true
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-497.0","updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>"
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-497.0","updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>"
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=0.0","updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>"
Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},Screen frozen for <*> due to Window{<*> u0 <*>.<*>}
Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},Screen frozen for <*> due to Window{<*> u0 <*>.<*>}
Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},Screen frozen for <*> due to Window{<*> u0 <*>.<*>}
