LineId,Content,EventId,EventTemplate
1,"instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected",E77,"instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected"
5,"63543 double-hummer alignment exceptions,162 double-hummer alignment exceptions,141 double-hummer alignment exceptions",E3,"<*> double-hummer alignment exceptions,<*> double-hummer alignment exceptions,<*> double-hummer alignment exceptions"
8,"CE sym 2, at 0x0b85eee0, mask 0x05",E18,"CE sym <*>, at <*>, mask <*>"
9,"ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370",E33,"ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>"
11,"CE sym 20, at 0x1438f9e0, mask 0x40",E18,"CE sym <*>, at <*>, mask <*>"
12,"generating core.2275,generating core.862,generating core.728,generating core.775,generating core.3276,generating core.1717,generating core.3919,generating core.2079,generating core.1414,generating core.3055,generating core.201,generating core.1125,generating core.412,generating core.7828,generating core.5570,generating core.8275,generating core.4183,generating core.6545,generating core.4245,generating core.6884",E67,"generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>"
32,force load/store alignment...............0,E64,force load/store alignment...............<*>
33,"generating core.6471,generating core.4155,generating core.449,generating core.6990,generating core.4876,generating core.2218,generating core.7518,generating core.5854,generating core.7457,generating core.6896,generating core.3488,generating core.1172,generating core.2286,generating core.786,generating core.2680,generating core.1524,generating core.4937,generating core.6801,generating core.4368,generating core.851,generating core.1744,generating core.1588,generating core.5307,generating core.7192",E67,"generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>"
57,"CE sym 20, at 0x01228120, mask 0x10,CE sym 5, at 0x11042a80, mask 0x04",E18,"CE sym <*>, at <*>, mask <*>,CE sym <*>, at <*>, mask <*>"
59,"instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected",E77,"instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected,instruction cache parity error corrected"
67,"generating core.430,generating core.174",E67,"generating core.<*>,generating core.<*>"
69,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,E19,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
70,"generating core.976,generating core.1990,generating core.3638,generating core.2690,generating core.3804,generating core.418,generating core.310,generating core.2409,generating core.4182,generating core.8153,generating core.7836,generating core.2911,generating core.2921,generating core.122,generating core.1973",E67,"generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>"
85,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,E37,ciod: LOGIN chdir(<*>) failed: No such file or directory
86,"generating core.4984,generating core.1822",E67,"generating core.<*>,generating core.<*>"
88,"CE sym 28, at 0x110067e0, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>"
89,"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1",E2,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>"
90,"CE sym 14, at 0x06047860, mask 0x20",E18,"CE sym <*>, at <*>, mask <*>"
91,"generating core.3265,generating core.2599,generating core.1818,generating core.1694,generating core.3401,generating core.25350,generating core.1820",E67,"generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>"
98,"CE sym 2, at 0x1b85f080, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>"
