LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate
15,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),E36,risBoot  (command <*>)
15,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),E36,risBoot  (command <*>)
15,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),E36,risBoot  (command <*>)
15,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),E36,risBoot  (command <*>)
15,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),E36,risBoot  (command <*>)
319,26281,Interconnect-0T00,switch_module,bcast-error,1124878893,1,Link error on broadcast tree Interconnect-0T00:00:2:1,E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
320,407973,Interconnect-1T00,switch_module,bcast-error,1142703109,1,Link error on broadcast tree Interconnect-1T00:00:3:6,E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
320,407973,Interconnect-1T00,switch_module,bcast-error,1142703109,1,Link error on broadcast tree Interconnect-1T00:00:3:6,E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
319,26281,Interconnect-0T00,switch_module,bcast-error,1124878893,1,Link error on broadcast tree Interconnect-0T00:00:2:1,E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
320,407973,Interconnect-1T00,switch_module,bcast-error,1142703109,1,Link error on broadcast tree Interconnect-1T00:00:3:6,E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
322,408221,Interconnect-1T00,switch_module,bcast-error,1142752287,1,Link error on broadcast tree Interconnect-1T00:00:2:0,E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
321,408176,Interconnect-1T00,switch_module,bcast-error,1142743438,1,Link error on broadcast tree Interconnect-1T00:00:2:0,E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
319,26281,Interconnect-0T00,switch_module,bcast-error,1124878893,1,Link error on broadcast tree Interconnect-0T00:00:2:1,E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
319,26281,Interconnect-0T00,switch_module,bcast-error,1124878893,1,Link error on broadcast tree Interconnect-0T00:00:2:1,E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
321,408176,Interconnect-1T00,switch_module,bcast-error,1142743438,1,Link error on broadcast tree Interconnect-1T00:00:2:0,E22,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
207,256889,node-D0,clusterfilesystem,clusterfilesystem.no_server,1118940596,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage411,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
207,256889,node-D0,clusterfilesystem,clusterfilesystem.no_server,1118940596,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage411,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
