LineId,Content,EventId,EventTemplate
1,"Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608)",E13,"Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>),Component State Change: Component <*> is in the unavailable state (HWID=<*>)"
13,"clusterAddMember  (command 1902),clusterAddMember  (command 1900)",E8,"clusterAddMember  (command <*>),clusterAddMember  (command <*>)"
15,risBoot  (command 1903),E36,risBoot  (command <*>)
16,bootGenvmunix  (command 1903),E6,bootGenvmunix  (command <*>)
17,"boot  (command 1911),boot  (command 1910),boot  (command 1978),boot  (command 1967)",E4,"boot  (command <*>),boot  (command <*>),boot  (command <*>),boot  (command <*>)"
21,wait  (command 1975),E45,wait  (command <*>)
22,boot  (command 1999),E4,boot  (command <*>)
23,halt  (command 1982),E19,halt  (command <*>)
24,"boot  (command 1981),boot  (command 1973)",E4,"boot  (command <*>),boot  (command <*>)"
26,"wait  (command 1973),wait  (command 2057)",E45,"wait  (command <*>),wait  (command <*>)"
28,boot  (command 2152),E4,boot  (command <*>)
29,wait  (command 2154),E45,wait  (command <*>)
30,"boot  (command 2141),boot  (command 2110),boot  (command 2160)",E4,"boot  (command <*>),boot  (command <*>),boot  (command <*>)"
33,halt  (command 2221),E19,halt  (command <*>)
34,"wait  (command 2217),wait  (command 2217),wait  (command 2201),wait  (command 2199)",E45,"wait  (command <*>),wait  (command <*>),wait  (command <*>),wait  (command <*>)"
38,boot  (command 2183),E4,boot  (command <*>)
39,"wait  (command 2189),wait  (command 2302),wait  (command 2270),wait  (command 2257)",E45,"wait  (command <*>),wait  (command <*>),wait  (command <*>),wait  (command <*>)"
43,"boot  (command 2257),boot  (command 2316),boot  (command 2316)",E4,"boot  (command <*>),boot  (command <*>),boot  (command <*>)"
46,"wait  (command 2322),wait  (command 2354),wait  (command 2347)",E45,"wait  (command <*>),wait  (command <*>),wait  (command <*>)"
49,"boot  (command 2368),boot  (command 2392),boot  (command 2406),boot  (command 2417),boot  (command 2423)",E4,"boot  (command <*>),boot  (command <*>),boot  (command <*>),boot  (command <*>),boot  (command <*>)"
