LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate
913,Jul,4,12:06:20,calvisitor-10-105-162-105,corecaptured,34743,,"CCLogTap::profileRemoved, Owner: com.apple.iokit.IO80211Family, Name: IO80211AWDLPeerManager",E177,"CCLogTap::profileRemoved, Owner: com.apple.iokit.<*>, Name: <*>"
1128,Jul,4,23:22:09,calvisitor-10-105-162-105,Microsoft Word,14463,,.sdef warning for argument '' of command 'can continue previous list' in suite 'Microsoft Word Suite': '4023' is not a valid type name.,E9,.sdef warning for argument '' of command 'can continue previous list' in suite 'Microsoft Word Suite': '<*>' is not a valid type name.
1598,Jul,7,00:43:09,calvisitor-10-105-162-178,imagent,355,,<IMMacNotificationCenterManager: 0x7fdcc9d16380>:    NC Disabled: NO,E102,<IMMacNotificationCenterManager: <*>>:    NC Disabled: NO
1186,Jul,5,10:31:18,calvisitor-10-105-163-10,kernel,0,,vm_compressor_fastwake_warmup (581519 - 591525) - starting,E333,vm_compressor_fastwake_warmup (<*> - <*>) - starting
435,Jul,3,08:21:18,authorMacBook-Pro,sharingd,30299,,08:21:18.004 : Discoverable mode changed to Off,E67,<*>:<*>:<*>.<*> : Discoverable mode changed to Off
1404,Jul,6,09:24:14,calvisitor-10-105-163-253,ksfetch,36728,,2017-07-06 09:24:14.417 ksfetch[36728/0x7fff79824000] [lvl=2] main() ksfetch fetching URL (<NSMutableURLRequest: 0x100602220> { URL: https://tools.google.com/service/update2?cup2hreq=f5e83ec64ff3fc5533a3c206134a6517e274f9e1cb53df857e15049b6e4c9f8e&cup2key=7:1721929288 }) to folder:/tmp/KSOutOfProcessFetcher.aPWod5QMh1/download,E96,<*>-<*>-<*> <*>:<*>:<*>.<*> ksfetch[<*>/<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*>> { URL: <*> }) to folder:<*>
722,Jul,4,01:00:22,airbears2-10-142-110-255,com.apple.AddressBook.InternetAccountsBridge,646,,Checking iCDP status for DSID 874161398 (checkWithServer=0),E185,Checking iCDP status for DSID <*> (checkWithServer=<*>)
1701,Jul,7,10:38:10,calvisitor-10-105-162-178,QQ,10018,,DB Path: /Users/xpc/Library/Containers/com.tencent.qq/Data/Documents/contents/916639562/QQ.db,E198,DB Path: <*>
1701,Jul,7,10:38:10,calvisitor-10-105-162-178,QQ,10018,,DB Path: /Users/xpc/Library/Containers/com.tencent.qq/Data/Documents/contents/916639562/QQ.db,E198,DB Path: <*>
1887,Jul,7,21:23:11,calvisitor-10-105-160-85,com.apple.WebKit.WebContent,38826,,<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,E100,<<<< MediaValidator >>>> mv_<*>: Unrecognized codec <*>.(null). Failed codec specific check.
