LineId,Date,Day,Time,Component,Pid,Content,EventId,EventTemplate
1934,Dec,10,11:04:18,LabSZ,25499,Failed password for uucp from 103.99.0.122 port 65454 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
161,Dec,10,07:51:20,LabSZ,24326,Failed password for uucp from 195.154.37.122 port 59266 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
762,Dec,10,09:17:33,LabSZ,24614,Failed password for invalid user nagios from 187.141.143.180 port 55761 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2
395,Dec,10,09:11:47,LabSZ,24456,Failed password for invalid user ubnt from 103.99.0.122 port 60608 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2
964,Dec,10,09:45:06,LabSZ,24761,Received disconnect from 119.137.62.142: 11: disconnected by user,E26,Received disconnect from <*>: <*>: disconnected by user
964,Dec,10,09:45:06,LabSZ,24761,Received disconnect from 119.137.62.142: 11: disconnected by user,E26,Received disconnect from <*>: <*>: disconnected by user
453,Dec,10,09:12:16,LabSZ,24479,Invalid user admin from 103.99.0.122,E13,Invalid user <*> from <*>
453,Dec,10,09:12:16,LabSZ,24479,Invalid user admin from 103.99.0.122,E13,Invalid user <*> from <*>
821,Dec,10,09:18:27,LabSZ,24636,Did not receive identification string from 103.207.39.16,E3,Did not receive identification string from <*>
551,Dec,10,09:13:22,LabSZ,24511,Did not receive identification string from 185.190.58.151,E3,Did not receive identification string from <*>
851,Dec,10,09:18:40,LabSZ,24645,reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
147,Dec,10,07:48:00,LabSZ,24321,reverse mapping checking getaddrinfo for 191-210-223-172.user.vivozap.com.br [191.210.223.172] failed - POSSIBLE BREAK-IN ATTEMPT!,E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
