LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate
1296,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,Vendor,,MegaRAID Model: LD 0 RAID1 139G Rev: 516A,E70,MegaRAID Model: LD <*> RAID1 <*> Rev: <*>
1350,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,syslog-ng,,syslog-ng startup succeeded,E126,syslog-ng startup succeeded
1278,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,NET,,Registered protocol family 2,E103,Registered protocol family <*>
1337,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,nfslock,,rpc.statd startup succeeded,E110,rpc.statd startup succeeded
1118,-,1131567006,2005.11.09,tbird-sm1,Nov,9,12:10:06,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
1510,-,1131567060,2005.11.09,tbird-admin1,Nov,9,12:11:00,local@tbird-admin1,xinetd,1798.0,removing eklogin,E106,removing <*>
1455,-,1131567054,2005.11.09,tbird-admin1,Nov,9,12:10:54,local@tbird-admin1,gmetad,,gmetad startup succeeded,E48,gmetad startup succeeded
1506,-,1131567060,2005.11.09,tbird-admin1,Nov,9,12:11:00,local@tbird-admin1,xinetd,1798.0,removing daytime,E106,removing <*>
1243,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,ACPI,,RSDP (v000 DELL ) @ 0x00000000000fd650,E112,RSDP (<*> DELL ) @ <*>
1286,-,1131567043,2005.11.09,tbird-admin1,Nov,9,12:10:43,local@tbird-admin1,SELinux,,Disabled at runtime.,E42,Disabled at runtime.
1465,-,1131567055,2005.11.09,tbird-admin1,Nov,9,12:10:55,local@tbird-admin1,sshd,1761.0,Server listening on :: port 22.,E116,Server listening on :: port <*>.
