LineId,Content,EventId,EventTemplate
1,session closed for user root,E117,session closed for user root
2,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
3,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
4,session closed for user root,E117,session closed for user root
5,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
6,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
7,session closed for user root,E117,session closed for user root
8,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
9,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
10,session closed for user root,E117,session closed for user root
11,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
12,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
13,session closed for user root,E117,session closed for user root
14,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
15,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
16,session closed for user root,E117,session closed for user root
17,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
18,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
19,session closed for user root,E117,session closed for user root
20,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
21,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
22,session closed for user root,E117,session closed for user root
23,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
24,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
25,session closed for user root,E117,session closed for user root
26,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
27,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
28,session closed for user root,E117,session closed for user root
29,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
30,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
31,session closed for user root,E117,session closed for user root
32,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
33,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
34,session closed for user root,E117,session closed for user root
35,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
