LineId,Content,EventId,EventTemplate
1,Notification time out: 3200,E31,Notification time out: <*>
2,Received connection request /10.10.34.11:45307,E40,Received connection request /<*>:<*>
3,Send worker leaving thread,E42,Send worker leaving thread
4,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
5,Send worker leaving thread,E42,Send worker leaving thread
6,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
7,Received connection request /10.10.34.13:57707,E40,Received connection request /<*>:<*>
8,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
9,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
10,"Send worker leaving thread,Send worker leaving thread",E42,"Send worker leaving thread,Send worker leaving thread"
12,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
13,Received connection request /10.10.34.11:45382,E40,Received connection request /<*>:<*>
14,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
15,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
16,Interrupting SendWorker,E25,Interrupting SendWorker
17,Send worker leaving thread,E42,Send worker leaving thread
18,Interrupting SendWorker,E25,Interrupting SendWorker
19,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
20,Received connection request /10.10.34.11:45440,E40,Received connection request /<*>:<*>
21,Interrupting SendWorker,E25,Interrupting SendWorker
22,Send worker leaving thread,E42,Send worker leaving thread
23,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
24,Interrupting SendWorker,E25,Interrupting SendWorker
25,Send worker leaving thread,E42,Send worker leaving thread
26,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
27,Received connection request /10.10.34.13:57895,E40,Received connection request /<*>:<*>
28,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue",E24,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue"
30,Interrupting SendWorker,E25,Interrupting SendWorker
31,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
32,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
33,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
34,Send worker leaving thread,E42,Send worker leaving thread
35,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
36,Received connection request /10.10.34.12:47727,E40,Received connection request /<*>:<*>
37,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue",E24,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue"
40,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
41,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue",E24,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue"
43,Received connection request /10.10.34.13:58035,E40,Received connection request /<*>:<*>
44,Interrupting SendWorker,E25,Interrupting SendWorker
45,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
46,"Interrupting SendWorker,Interrupting SendWorker",E25,"Interrupting SendWorker,Interrupting SendWorker"
48,Received connection request /10.10.34.12:47838,E40,Received connection request /<*>:<*>
49,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue",E24,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue"
51,Send worker leaving thread,E42,Send worker leaving thread
52,"Interrupting SendWorker,Interrupting SendWorker",E25,"Interrupting SendWorker,Interrupting SendWorker"
54,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
55,Interrupting SendWorker,E25,Interrupting SendWorker
56,"Received connection request /10.10.34.13:58116,Received connection request /10.10.34.11:45957",E40,"Received connection request /<*>:<*>,Received connection request /<*>:<*>"
58,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
59,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
60,"Interrupting SendWorker,Interrupting SendWorker",E25,"Interrupting SendWorker,Interrupting SendWorker"
62,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
63,Send worker leaving thread,E42,Send worker leaving thread
64,"Received connection request /10.10.34.13:58303,Received connection request /10.10.34.12:48096",E40,"Received connection request /<*>:<*>,Received connection request /<*>:<*>"
66,Send worker leaving thread,E42,Send worker leaving thread
67,Interrupting SendWorker,E25,Interrupting SendWorker
68,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue",E24,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue"
70,Interrupting SendWorker,E25,Interrupting SendWorker
71,Send worker leaving thread,E42,Send worker leaving thread
72,Interrupting SendWorker,E25,Interrupting SendWorker
73,Send worker leaving thread,E42,Send worker leaving thread
74,Received connection request /10.10.34.12:48141,E40,Received connection request /<*>:<*>
75,Interrupting SendWorker,E25,Interrupting SendWorker
76,Send worker leaving thread,E42,Send worker leaving thread
77,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error ="
78,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue",E24,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue"
80,Interrupting SendWorker,E25,Interrupting SendWorker
81,Received connection request /10.10.34.13:58421,E40,Received connection request /<*>:<*>
82,Send worker leaving thread,E42,Send worker leaving thread
83,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue
84,Send worker leaving thread,E42,Send worker leaving thread
85,Received connection request /10.10.34.11:46128,E40,Received connection request /<*>:<*>
86,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue",E24,"Interrupted while waiting for message on queue,Interrupted while waiting for message on queue"
88,"Interrupting SendWorker,Interrupting SendWorker",E25,"Interrupting SendWorker,Interrupting SendWorker"
90,Received connection request /10.10.34.13:58452,E40,Received connection request /<*>:<*>
91,Interrupting SendWorker,E25,Interrupting SendWorker
